rank,feature,split,gain,gain_pct,cumulative_pct
210,D7,611,3026.25,0.05,95.47
211,V124,298,3017.98,0.05,95.52
212,V160,388,2982.39,0.05,95.57
213,V170,189,2975.93,0.05,95.63
214,V10,323,2961.53,0.05,95.68
215,V137,432,2942.66,0.05,95.73
216,V224,179,2879.86,0.05,95.79
217,V159,497,2835.29,0.05,95.84
218,V52,299,2818.38,0.05,95.89
219,V218,216,2811.48,0.05,95.94
220,V135,454,2805.29,0.05,95.99
221,V43,384,2783.33,0.05,96.04
222,V140,246,2746.32,0.05,96.09
223,V85,277,2680.85,0.05,96.13
224,V51,259,2673.15,0.05,96.18
225,id_34,258,2672.53,0.05,96.23
226,V292,315,2629.74,0.05,96.28
227,C10,433,2628.75,0.05,96.32
228,V171,229,2598.25,0.05,96.37
229,V293,230,2570.52,0.05,96.42
230,V333,96,2561.82,0.05,96.46
231,V335,262,2555.66,0.05,96.51
232,V64,255,2525.65,0.05,96.55
233,V272,352,2505.67,0.04,96.6
234,V47,261,2500.03,0.04,96.64
235,V206,415,2496.65,0.04,96.69
236,V300,332,2482.51,0.04,96.73
237,V73,223,2478.57,0.04,96.78
238,V221,477,2400.05,0.04,96.82
239,V319,462,2390.68,0.04,96.86
240,V105,188,2371.24,0.04,96.9
241,V158,240,2371.06,0.04,96.95
242,V245,300,2361.28,0.04,96.99
243,V79,214,2358.23,0.04,97.03
244,V39,331,2297.36,0.04,97.07
245,V197,136,2264.6,0.04,97.11
246,V188,208,2261.6,0.04,97.15
247,V264,437,2255.27,0.04,97.19
248,V219,119,2180.06,0.04,97.23
249,V273,223,2171.66,0.04,97.27
250,V3,251,2155.38,0.04,97.31
251,V115,198,2153.36,0.04,97.35
252,V150,344,2054.15,0.04,97.39
253,V290,223,2047.73,0.04,97.42
254,V198,43,2034.13,0.04,97.46
255,V11,207,2021.78,0.04,97.5
256,V59,164,2013.25,0.04,97.53
257,V7,277,2002.48,0.04,97.57
258,V222,317,1981.58,0.04,97.6
259,V162,125,1940.97,0.03,97.64
260,V132,392,1939.48,0.03,97.67
261,V40,340,1933.29,0.03,97.71
262,V6,303,1932.1,0.03,97.74
263,V227,130,1918.46,0.03,97.78
264,V95,220,1891.71,0.03,97.81
265,id_15,195,1867.65,0.03,97.84
266,V278,285,1817.37,0.03,97.88
267,V215,276,1809.33,0.03,97.91
268,V109,208,1799.88,0.03,97.94
269,V2,248,1794.95,0.03,97.97
270,V138,73,1770.43,0.03,98.0
271,V303,204,1729.88,0.03,98.03
272,V145,228,1724.71,0.03,98.07
273,V60,131,1718.04,0.03,98.1
274,V216,251,1700.71,0.03,98.13
275,V58,108,1658.1,0.03,98.16
276,V254,95,1639.75,0.03,98.19
277,V276,279,1563.45,0.03,98.21
278,V100,188,1555.48,0.03,98.24
279,V204,268,1546.05,0.03,98.27
280,V249,107,1541.41,0.03,98.3
281,id_37,232,1539.55,0.03,98.32
282,V63,127,1529.78,0.03,98.35
283,V251,174,1527.8,0.03,98.38
284,V123,112,1517.69,0.03,98.41
285,V205,156,1503.13,0.03,98.43
286,V15,75,1485.48,0.03,98.46
287,V155,32,1446.69,0.03,98.49
288,V97,166,1440.25,0.03,98.51
289,V286,117,1438.51,0.03,98.54
290,V265,320,1417.45,0.03,98.56
291,V239,120,1400.17,0.03,98.59
292,V192,60,1393.45,0.02,98.61
293,V42,240,1382.98,0.02,98.64
294,V202,265,1347.89,0.02,98.66
295,V166,308,1344.66,0.02,98.69
296,V248,133,1343.93,0.02,98.71
297,V167,78,1323.02,0.02,98.73
298,V229,186,1322.82,0.02,98.76
299,V338,111,1277.44,0.02,98.78
300,V8,124,1231.92,0.02,98.8
301,V172,43,1227.96,0.02,98.82
302,V93,128,1214.46,0.02,98.85
303,V336,170,1191.3,0.02,98.87
304,V263,268,1182.56,0.02,98.89
305,V284,153,1154.03,0.02,98.91
306,V151,185,1138.19,0.02,98.93
